@relation password.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute class {accepted,denied}

@data
% Accepted data
93,129,118,203,418,162,-47,45,-76,45,-43,67,135,112,0,109,denied
-104,71,90,192,506,175,227,105,-72,47,-64,56,128,106,0,40,denied
73,123,-176,79,-270,58,-50,44,158,151,55,121,75,62,0,41,denied
93,129,-200,69,422,163,224,104,128,137,-54,61,125,104,0,51,denied
-79,78,73,184,-206,67,243,108,-51,56,49,118,65,54,0,48,denied
78,125,-192,73,-239,63,-26,49,-48,57,-44,67,134,111,0,114,denied
79,125,-186,75,-209,67,210,101,145,145,47,117,133,110,0,51,denied
-81,77,-185,75,391,158,217,103,132,139,-61,57,70,58,0,44,denied
98,130,-192,72,-219,66,258,111,-38,62,51,119,129,107,0,117,denied
-96,73,-173,80,393,158,-52,44,-61,52,60,124,68,57,0,118,denied
98,130,-165,84,396,159,-29,49,-66,49,63,126,128,106,0,44,denied
80,125,-181,77,414,161,234,106,-43,60,60,124,128,106,0,112,denied
-97,73,93,193,-300,53,253,110,141,143,64,126,128,107,0,39,denied
-99,72,92,193,-194,69,-15,52,162,152,-58,59,127,106,0,44,denied
-83,77,81,188,463,169,210,101,135,140,-62,57,131,109,0,42,denied
-94,74,121,205,-247,61,257,111,-75,45,64,126,70,58,0,121,denied
74,123,114,202,-290,55,209,101,-71,47,-53,62,132,110,0,120,denied
71,122,-168,83,-280,56,249,110,158,150,53,120,125,104,0,46,denied
-75,79,84,189,465,169,253,111,-76,45,-51,63,74,61,0,110,denied
79,125,-164,84,457,168,-13,52,126,136,-44,67,130,108,0,112,denied
89,128,-203,68,420,162,255,111,147,146,58,123,130,108,0,40,denied
-72,80,-173,81,-287,55,249,109,146,145,-46,66,131,109,0,43,denied
69,122,97,195,-248,61,-34,47,130,138,48,117,70,58,0,122,denied
-95,73,117,203,433,164,-26,49,149,146,49,118,133,111,0,45,denied
-99,72,110,200,406,160,-13,52,-69,48,-62,57,130,108,0,41,denied
-88,75,104,198,503,175,256,111,129,137,-60,58,67,56,0,110,denied
-78,78,96,194,-251,61,-64,41,134,140,57,122,130,108,0,50,denied
-74,79,-201,69,-301,53,256,111,123,135,54,120,67,56,0,113,denied
-103,71,-169,82,395,158,237,107,159,151,59,123,68,56,0,50,denied
66,121,-205,67,424,163,-48,44,146,145,57,122,125,103,0,45,denied
93,129,-179,78,-189,70,242,108,-37,62,60,124,129,107,0,51,denied
88,127,75,185,-205,68,227,105,136,140,58,123,69,57,0,49,denied
79,125,-195,71,-208,67,-60,42,125,136,-59,58,73,61,0,112,denied
-78,78,86,190,-279,57,-28,49,-39,61,65,127,132,110,0,117,denied
70,122,-197,71,-286,55,-29,49,-40,61,-56,60,124,103,0,117,denied
-86,76,87,190,439,165,214,102,152,148,-64,56,71,59,0,52,denied
-81,77,-209,65,-304,53,232,106,129,137,-53,62,68,56,0,43,denied
-92,74,-183,76,415,161,-56,43,-64,50,52,120,133,110,0,49,denied
-82,77,-190,73,509,176,253,110,133,139,-44,67,73,61,0,119,denied
96,130,73,185,-247,61,221,103,-56,54,-46,65,130,108,0,119,denied
-79,78,-203,68,-195,69,219,103,144,144,62,125,70,58,0,40,denied
69,122,100,196,426,163,244,108,134,140,50,118,130,108,0,44,denied
67,121,77,186,-244,62,-14,52,141,143,-52,63,73,60,0,113,denied
-102,71,117,203,-284,56,246,109,-59,52,51,119,128,106,0,113,denied
85,127,112,201,-258,60,-47,45,-68,48,-63,57,68,56,0,42,denied
74,123,101,196,-316,51,230,105,-60,52,-52,62,135,112,0,39,denied
73,123,-181,77,449,167,239,107,130,138,-57,60,132,109,0,121,denied
-94,74,-210,65,486,172,-49,44,-46,58,-55,61,124,103,0,113,denied
96,130,-178,78,-232,64,257,111,-66,49,-43,67,68,56,0,111,denied
-75,79,80,187,-287,55,249,109,-57,53,60,124,135,112,0,43,denied
71,122,-167,83,389,158,235,106,130,138,-63,57,66,55,0,51,denied
-79,78,-209,65,-273,57,-20,51,134,139,-57,60,133,111,0,109,denied
82,126,-159,86,504,175,-25,50,156,150,-48,65,125,103,0,119,denied
-74,80,106,198,-207,67,245,109,158,151,55,121,70,58,0,49,denied
89,128,-173,81,-218,66,-34,48,-55,54,-63,56,124,103,0,122,denied
98,130,125,206,-292,54,-56,43,-38,62,-45,66,133,111,0,45,denied
78,125,116,203,509,176,-52,44,-64,50,-64,56,129,107,0,51,denied
-77,78,115,202,502,175,-16,52,-48,57,45,116,70,58,0,44,denied
92,129,121,205,382,157,252,110,140,142,48,117,128,106,0,117,denied
