@relation specialChris.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
128,64,152,72,-928,80,416,1008,64,136,135,112,504,113,816,104,136,64,136,56,-1056,64,0,1143,0,denied
184,64,176,64,-1232,88,488,1280,64,144,208,104,144,136,553,112,120,71,136,72,-832,72,0,920,0,denied
136,72,216,72,-848,80,360,928,80,128,120,152,96,120,542,96,136,58,120,72,-800,64,0,888,0,denied
120,71,136,72,-1024,80,240,1120,32,128,72,144,104,104,369,96,128,71,136,72,-688,64,0,792,0,denied
137,63,177,71,-712,79,297,768,40,143,105,112,81,119,561,103,155,55,136,62,-871,79,0,959,0,denied
112,80,120,80,-656,80,209,695,16,144,56,152,96,112,736,96,105,87,121,71,-1065,72,0,1152,0,denied
112,72,128,80,-1064,80,241,1119,40,152,80,128,88,112,449,96,136,47,112,80,-705,64,0,793,0,denied
120,64,152,80,-1272,80,280,1320,32,160,72,120,88,120,441,96,120,63,120,80,-720,64,0,800,0,denied
120,71,136,72,-1272,72,281,1328,85,146,88,104,72,120,377,104,128,79,128,72,-672,72,0,752,0,denied
96,88,136,88,-1185,80,281,1232,24,144,64,136,72,128,368,96,128,72,104,72,-655,71,0,752,0,denied
120,72,128,80,-736,80,272,1048,72,128,72,128,80,120,328,104,128,72,128,64,-640,80,0,712,0,denied
120,56,136,80,-688,80,305,767,96,152,56,160,88,136,393,96,112,87,112,80,-672,80,0,784,0,denied
112,80,168,80,-776,80,320,824,48,152,80,120,97,112,481,111,137,71,136,79,-768,80,0,872,0,denied





































































































